metric,value
elapsedSeconds,10.010
sentFrames,300
deliveredFrames,162
deliveredPercent,54.000
decodableFrames,151
decodablePercent,50.333
fpsSent,29.969
fpsDelivered,16.183
kbSentTotal,782.090
kbDeliveredTotal,453.617
goodputKbPerSec,45.315
avgFrameKb,2.607
droppedDatagrams,0
nackCount,36
pliCount,19
retransmittedFrames,67
latencyAvgMs,186.424
latencyP50Ms,124.240
latencyP95Ms,424.934
latencyP99Ms,463.990
latencyMaxMs,502.604
encodeAvgMs,0.703
encodeMaxMs,2.296
outOfOrderCount,0
maxGapMs,625.273
repairRttMeasuredMs,252.796
