sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,1.434,229.645
2,Delta,1928,1.131,
3,Delta,2537,0.642,
4,Delta,2532,0.569,
5,Delta,2315,0.742,
6,Delta,2325,0.597,
7,Delta,3291,0.645,
8,Delta,2466,0.820,
9,Delta,2523,0.854,
10,Delta,2407,0.603,
11,Delta,3125,0.663,
12,Delta,2460,0.624,
13,Delta,2471,0.581,
14,Delta,2397,0.581,
15,Delta,3043,0.662,
16,Keyframe,10565,0.715,230.118
17,Delta,1572,0.565,200.601
18,Delta,2077,0.650,204.345
19,Delta,2214,0.664,216.299
20,Delta,2034,0.750,221.840
21,Delta,1989,0.664,231.255
22,Delta,2566,0.662,204.445
23,Delta,2094,0.664,205.500
24,Delta,2358,0.625,208.757
25,Delta,2332,0.637,201.217
26,Delta,2414,0.613,
27,Delta,2205,0.633,
28,Delta,2144,0.632,
29,Delta,2016,0.726,
30,Delta,2573,0.666,
31,Keyframe,9455,0.725,
32,Delta,1488,0.847,
33,Delta,2418,0.682,
34,Delta,1951,0.610,
35,Delta,1799,0.648,
36,Delta,2062,0.785,
37,Delta,2477,0.688,
38,Delta,2008,0.600,
39,Delta,1815,0.655,
40,Delta,1814,0.617,
41,Delta,2462,0.629,
42,Delta,2004,0.635,
43,Delta,2091,0.762,
44,Delta,1929,0.750,
45,Delta,2523,0.698,
46,Keyframe,9777,0.647,203.698
47,Delta,1623,0.614,216.544
48,Delta,2186,0.667,222.627
49,Delta,2365,0.728,231.668
50,Delta,2120,0.867,204.758
51,Delta,2305,0.704,205.129
52,Delta,2678,0.801,209.907
53,Delta,2159,0.700,201.608
54,Delta,2085,0.620,203.223
55,Delta,2048,0.705,233.954
56,Delta,2571,0.684,231.020
57,Delta,2259,0.731,207.358
58,Delta,2171,0.730,205.542
59,Delta,2224,0.742,222.181
60,Delta,2725,0.719,
61,Keyframe,9508,0.658,
62,Delta,1625,0.687,
63,Delta,2166,0.731,
64,Delta,2267,0.854,
65,Delta,2063,0.677,
66,Delta,2079,0.620,
67,Delta,2561,0.645,
68,Delta,1931,0.869,
69,Delta,2192,0.673,
70,Delta,2226,0.645,
71,Delta,2713,0.696,
72,Delta,1939,0.578,
73,Delta,2357,0.745,
74,Delta,2216,0.657,
75,Delta,2614,0.640,
76,Keyframe,10128,0.684,220.010
77,Delta,1448,0.600,229.541
78,Delta,2317,0.624,204.561
79,Delta,2116,0.673,204.841
80,Delta,1997,0.587,209.375
81,Delta,2011,0.587,220.500
82,Delta,2677,0.599,
83,Delta,1975,0.777,
84,Delta,2204,0.900,
85,Delta,2182,0.654,
86,Delta,2781,0.624,
87,Delta,2031,0.632,
88,Delta,2062,0.738,
89,Delta,2383,0.680,
90,Delta,2853,0.633,
91,Keyframe,10210,0.634,213.024
92,Delta,1739,0.649,218.229
93,Delta,2475,0.609,228.298
94,Delta,2597,0.765,203.217
95,Delta,2251,0.627,202.084
96,Delta,2374,0.778,205.284
97,Delta,2947,0.611,201.925
98,Delta,2413,0.677,202.111
99,Delta,2423,0.684,230.611
100,Delta,2404,0.643,231.685
101,Delta,3048,0.715,204.479
102,Delta,2455,0.772,203.076
103,Delta,2665,0.987,219.264
104,Delta,2317,0.654,224.783
105,Delta,3087,0.694,200.603
106,Keyframe,10192,0.639,218.856
107,Delta,1624,0.699,208.466
108,Delta,2846,0.608,204.700
109,Delta,2198,0.725,206.223
110,Delta,2140,0.712,205.906
111,Delta,2348,0.635,
112,Delta,2735,0.720,
113,Delta,2258,0.892,
114,Delta,2161,0.823,
115,Delta,2045,1.389,
116,Delta,2592,1.040,
117,Delta,2519,0.875,
118,Delta,2126,0.664,
119,Delta,2163,0.783,
120,Delta,3002,0.540,
121,Keyframe,9848,0.860,203.330
122,Delta,1575,1.202,206.841
123,Delta,2408,0.877,200.873
124,Delta,1900,1.787,
125,Delta,1480,0.861,
126,Delta,2129,0.668,
127,Delta,3054,0.812,
128,Delta,1794,0.550,
129,Delta,1812,0.961,
130,Delta,1826,0.738,
131,Delta,3071,0.885,
132,Delta,1862,0.635,
133,Delta,1993,0.736,
134,Delta,1827,0.560,
135,Delta,2427,0.596,
136,Keyframe,9506,0.598,207.512
137,Delta,1380,0.812,218.196
138,Delta,2431,0.568,202.935
139,Delta,1837,0.725,201.837
140,Delta,1908,0.875,229.199
141,Delta,1888,0.656,203.175
142,Delta,2751,0.797,206.864
143,Delta,2124,0.938,203.685
144,Delta,2114,0.766,228.512
145,Delta,2186,1.126,214.254
146,Delta,2675,0.849,
147,Delta,2038,1.199,
148,Delta,1830,1.032,
149,Delta,1722,1.274,
150,Delta,2587,0.826,
151,Keyframe,9660,0.827,800.259
152,Delta,1352,0.636,
153,Delta,2467,0.837,
154,Delta,1635,0.590,
155,Delta,1671,0.685,
156,Delta,2186,0.724,
157,Delta,2994,0.882,
158,Delta,1972,0.604,
159,Delta,2004,0.871,
160,Delta,1850,0.688,
161,Delta,2817,0.756,
162,Delta,1965,0.812,
163,Delta,1975,0.702,
164,Delta,1877,0.681,
165,Delta,2888,0.647,
166,Keyframe,9771,1.106,
167,Delta,1381,0.571,
168,Delta,2445,0.697,
169,Delta,1922,1.139,
170,Delta,1919,1.132,
171,Delta,2066,0.725,
172,Delta,2661,0.682,
