sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,16.317,
2,Delta,1928,1.075,6.404
3,Delta,2537,0.855,0.396
4,Delta,2532,0.770,1.046
5,Delta,2315,1.013,0.636
6,Delta,2325,0.900,0.262
7,Delta,3291,0.604,0.290
8,Delta,2466,0.735,0.427
9,Delta,2523,0.578,0.214
10,Delta,2407,0.593,0.251
11,Delta,3125,0.611,0.213
12,Delta,2460,0.655,0.189
13,Delta,2471,0.858,0.297
14,Delta,2397,0.743,0.278
15,Delta,3043,0.719,0.597
16,Keyframe,10565,0.816,0.800
17,Delta,1572,0.895,0.288
18,Delta,2077,0.694,0.257
19,Delta,2214,0.690,0.227
20,Delta,2034,0.913,
21,Delta,1989,0.816,
22,Delta,2566,0.875,
23,Delta,2094,0.818,
24,Delta,2358,0.753,
25,Delta,2332,0.760,
26,Delta,2414,0.739,
27,Delta,2205,0.713,
28,Delta,2144,0.584,
29,Delta,2016,0.687,
30,Delta,2573,0.641,
31,Keyframe,9455,0.658,
32,Delta,1488,0.581,
33,Delta,2418,0.659,
34,Delta,1951,0.590,
35,Delta,1799,0.831,
36,Delta,2062,0.631,
37,Delta,2477,0.616,
38,Delta,2008,0.675,
39,Delta,1815,0.677,
40,Delta,1814,0.672,
41,Delta,2462,0.654,
42,Delta,2004,0.649,
43,Delta,2091,0.603,
44,Delta,1929,0.650,
45,Delta,2523,0.656,
46,Keyframe,9777,0.703,
47,Delta,1623,0.665,
48,Delta,2186,0.668,
49,Delta,2365,0.742,
50,Delta,2120,0.699,
51,Delta,2305,0.685,
52,Delta,2678,0.741,
53,Delta,2159,0.658,
54,Delta,2085,0.705,
55,Delta,2048,0.687,
56,Delta,2571,0.646,
57,Delta,2259,0.647,
58,Delta,2171,0.626,
59,Delta,2224,0.698,
60,Delta,2725,0.660,
61,Keyframe,9508,0.677,
62,Delta,1625,0.615,
63,Delta,2166,0.648,
64,Delta,2267,0.599,
65,Delta,2063,0.618,
66,Delta,2079,0.628,
67,Delta,2561,0.617,
68,Delta,1931,0.611,
69,Delta,2192,0.625,
70,Delta,2226,0.609,
71,Delta,2713,0.622,
72,Delta,1939,0.652,
73,Delta,2357,0.564,
74,Delta,2216,0.731,
75,Delta,2614,0.623,
76,Keyframe,10128,0.650,1.958
77,Delta,1448,0.618,0.152
78,Delta,2317,0.634,0.193
79,Delta,2116,0.708,0.246
80,Delta,1997,0.677,0.306
81,Delta,2011,0.674,0.153
82,Delta,2677,0.613,
83,Delta,1975,0.583,
84,Delta,2204,0.588,
85,Delta,2182,0.594,
86,Delta,2781,0.719,
87,Delta,2031,0.654,
88,Delta,2062,0.589,
89,Delta,2383,0.634,
90,Delta,2853,0.678,
91,Keyframe,10210,0.650,100.407
92,Delta,1739,0.604,61.856
93,Delta,2475,0.615,35.269
94,Delta,2597,0.665,0.279
95,Delta,2251,0.735,0.186
96,Delta,2374,0.586,0.147
97,Delta,2947,0.604,0.181
98,Delta,2413,0.599,0.152
99,Delta,2423,0.552,0.149
100,Delta,2404,0.593,17.543
101,Delta,3048,0.630,0.150
102,Delta,2455,0.578,0.155
103,Delta,2665,0.599,0.258
104,Delta,2317,0.561,0.146
105,Delta,3087,0.605,0.170
106,Keyframe,10192,0.577,20.451
107,Delta,1624,0.876,0.615
108,Delta,2846,0.764,
109,Delta,2198,0.652,
110,Delta,2140,0.821,
111,Delta,2348,0.720,
112,Delta,2735,0.651,
113,Delta,2258,0.678,
114,Delta,2161,0.601,
115,Delta,2045,0.617,
116,Delta,2592,0.680,
117,Delta,2519,0.604,
118,Delta,2126,0.575,
119,Delta,2163,0.586,
120,Delta,3002,0.583,
121,Keyframe,9848,0.556,
122,Delta,1575,0.538,
123,Delta,2408,0.563,
124,Delta,1900,0.606,
125,Delta,1480,0.622,
126,Delta,2129,0.619,
127,Delta,3054,0.670,
128,Delta,1794,0.608,
129,Delta,1812,0.633,
130,Delta,1826,0.641,
131,Delta,3071,0.567,
132,Delta,1862,0.595,
133,Delta,1993,0.556,
134,Delta,1827,0.681,
135,Delta,2427,0.594,
136,Keyframe,9506,0.596,0.253
137,Delta,1380,0.649,0.157
138,Delta,2431,0.603,0.156
139,Delta,1837,0.566,0.153
140,Delta,1908,0.653,0.305
141,Delta,1888,0.646,0.148
142,Delta,2751,0.598,30.960
143,Delta,2124,0.565,0.136
144,Delta,2114,0.597,
145,Delta,2186,0.572,
146,Delta,2675,0.651,
147,Delta,2038,0.662,
148,Delta,1830,0.692,
149,Delta,1722,0.555,
150,Delta,2587,0.608,
151,Keyframe,9660,0.594,141.498
152,Delta,1352,0.656,134.111
153,Delta,2467,0.587,100.947
154,Delta,1635,0.553,67.928
155,Delta,1671,0.611,33.895
156,Delta,2186,0.702,0.502
157,Delta,2994,0.624,0.395
158,Delta,1972,0.581,0.154
159,Delta,2004,0.589,0.153
160,Delta,1850,0.609,
161,Delta,2817,0.619,
162,Delta,1965,0.699,
163,Delta,1975,0.580,
164,Delta,1877,0.690,
165,Delta,2888,0.705,
166,Keyframe,9771,0.730,165.967
167,Delta,1381,0.669,200.229
168,Delta,2445,0.688,166.597
169,Delta,1922,0.612,134.483
170,Delta,1919,0.871,82.550
171,Delta,2066,0.591,68.305
172,Delta,2661,0.637,2.846
173,Delta,2132,0.594,0.075
174,Delta,1961,0.645,0.146
175,Delta,1968,0.592,0.162
176,Delta,2473,0.787,0.136
177,Delta,2028,0.652,0.137
178,Delta,1963,0.593,17.396
179,Delta,1968,0.624,0.138
180,Delta,2637,0.628,0.167
181,Keyframe,9688,0.697,
182,Delta,1434,0.608,
183,Delta,2561,0.597,
184,Delta,1727,0.606,
185,Delta,1677,0.584,
186,Delta,1569,0.631,
187,Delta,2329,0.612,
188,Delta,2249,0.700,
189,Delta,2120,0.683,
190,Delta,2109,0.603,
191,Delta,2449,0.562,
192,Delta,1926,0.653,
193,Delta,1713,0.566,
194,Delta,2101,0.595,
195,Delta,2496,0.552,
196,Keyframe,10117,0.587,0.283
197,Delta,1487,0.670,0.163
198,Delta,2383,0.627,0.175
199,Delta,1776,0.572,14.769
200,Delta,1853,0.679,0.160
201,Delta,1733,0.614,0.140
202,Delta,2461,0.629,0.155
203,Delta,1799,0.735,0.170
204,Delta,1762,0.650,0.142
205,Delta,2127,0.580,17.149
206,Delta,2455,0.623,0.340
207,Delta,2180,0.640,0.160
208,Delta,1939,0.648,0.142
209,Delta,1859,0.597,0.143
210,Delta,2820,0.566,0.174
211,Keyframe,9901,0.594,
212,Delta,1324,0.595,
213,Delta,2267,0.594,
214,Delta,1817,0.684,
215,Delta,1811,0.699,
216,Delta,2418,0.635,
217,Delta,2588,0.608,
218,Delta,2539,0.619,
219,Delta,2346,0.625,
220,Delta,2201,0.590,
221,Delta,2502,0.599,
222,Delta,2097,0.629,
223,Delta,2441,0.582,
224,Delta,1837,0.579,
225,Delta,2322,0.631,
226,Keyframe,9660,0.592,17.470
227,Delta,1475,0.634,0.165
228,Delta,2580,0.633,0.171
229,Delta,2012,0.579,0.145
230,Delta,1986,0.638,0.182
231,Delta,2171,0.696,0.143
232,Delta,2777,0.675,0.184
233,Delta,2308,0.676,0.311
234,Delta,2460,0.685,0.176
235,Delta,2294,0.588,0.156
236,Delta,2458,0.715,0.175
237,Delta,1803,0.749,0.152
238,Delta,2289,0.645,0.154
239,Delta,2039,0.612,0.170
240,Delta,2204,0.636,0.165
241,Keyframe,9108,0.712,
242,Delta,1365,0.560,
243,Delta,2243,0.654,
244,Delta,1747,0.553,
245,Delta,1633,0.563,
246,Delta,2145,0.572,
247,Delta,2307,0.624,
248,Delta,2035,0.523,
249,Delta,1895,0.637,
250,Delta,1722,0.573,
251,Delta,2309,0.631,
252,Delta,2102,0.726,
253,Delta,1984,0.587,
254,Delta,1970,0.628,
255,Delta,2626,0.596,
256,Keyframe,8975,0.597,
257,Delta,1717,0.611,
258,Delta,2364,0.647,
259,Delta,1792,0.547,
260,Delta,1856,0.790,
261,Delta,1797,0.574,
262,Delta,2477,0.581,
263,Delta,1886,0.570,
264,Delta,1912,0.617,
265,Delta,1950,0.630,
266,Delta,2344,0.690,
267,Delta,1895,0.661,
268,Delta,1785,0.563,
269,Delta,1906,0.606,
270,Delta,2203,0.559,
271,Keyframe,8872,0.671,32.261
272,Delta,1769,0.667,0.330
273,Delta,2297,0.576,0.139
274,Delta,1728,0.631,0.151
275,Delta,1711,0.621,0.177
276,Delta,2062,0.704,0.155
277,Delta,2598,0.748,0.153
278,Delta,1912,0.675,0.288
279,Delta,1932,0.726,0.153
280,Delta,1943,0.643,0.168
281,Delta,2569,0.676,0.147
282,Delta,1969,0.636,0.144
283,Delta,1994,0.620,0.147
284,Delta,1957,0.655,1.536
285,Delta,2440,0.623,0.157
286,Keyframe,9091,0.743,0.186
287,Delta,1540,0.723,0.189
288,Delta,2070,0.705,0.155
289,Delta,1729,0.603,34.161
290,Delta,1723,0.834,
291,Delta,1925,0.761,
292,Delta,2249,0.590,
293,Delta,1923,0.580,
294,Delta,1878,0.654,
295,Delta,1979,0.591,
296,Delta,2301,0.619,
297,Delta,1837,0.666,
298,Delta,1858,0.616,
299,Delta,1804,0.618,
300,Delta,2167,0.652,
301,Keyframe,8709,0.616,
