sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,17.986,14.211
2,Delta,1928,1.127,8.566
3,Delta,2537,0.941,0.296
4,Delta,2532,0.613,0.731
5,Delta,2315,0.615,0.722
6,Delta,2325,0.582,0.195
7,Delta,3291,0.840,0.446
8,Delta,2466,0.593,0.208
9,Delta,2523,0.651,0.238
10,Delta,2407,0.634,0.226
11,Delta,3125,0.867,0.208
12,Delta,2460,0.578,0.203
13,Delta,2471,0.649,0.199
14,Delta,2397,0.650,0.261
15,Delta,3043,0.599,0.189
16,Keyframe,10565,0.988,0.355
17,Delta,1572,0.578,0.195
18,Delta,2077,0.699,0.199
19,Delta,2214,0.615,0.232
20,Delta,2034,0.568,0.229
21,Delta,1989,1.014,0.194
22,Delta,2566,0.718,0.331
23,Delta,2094,0.689,0.259
24,Delta,2358,0.625,0.251
25,Delta,2332,0.575,0.224
26,Delta,2414,0.868,0.295
27,Delta,2205,0.617,0.205
28,Delta,2144,0.723,0.197
29,Delta,2016,0.688,0.294
30,Delta,2573,0.747,0.240
31,Keyframe,9455,0.898,1.373
32,Delta,1488,0.603,0.203
33,Delta,2418,0.722,0.206
34,Delta,1951,0.673,0.237
35,Delta,1799,0.661,0.218
36,Delta,2062,1.020,0.195
37,Delta,2477,0.718,0.210
38,Delta,2008,0.742,0.207
39,Delta,1815,0.675,0.182
40,Delta,1814,0.662,0.176
41,Delta,2462,0.942,0.184
42,Delta,2004,0.697,0.177
43,Delta,2091,0.665,0.166
44,Delta,1929,0.630,0.302
45,Delta,2523,0.788,0.244
46,Keyframe,9777,0.986,0.360
47,Delta,1623,0.613,0.197
48,Delta,2186,0.735,0.251
49,Delta,2365,0.653,0.192
50,Delta,2120,0.624,0.279
51,Delta,2305,0.925,0.183
52,Delta,2678,0.783,0.193
53,Delta,2159,0.715,0.180
54,Delta,2085,0.649,0.181
55,Delta,2048,0.623,0.175
56,Delta,2571,0.943,0.164
57,Delta,2259,0.675,0.170
58,Delta,2171,0.667,0.194
59,Delta,2224,0.626,0.183
60,Delta,2725,0.743,0.286
61,Keyframe,9508,0.941,0.335
62,Delta,1625,0.774,0.228
63,Delta,2166,0.714,0.219
64,Delta,2267,0.884,0.185
65,Delta,2063,0.647,0.200
66,Delta,2079,0.882,0.156
67,Delta,2561,0.670,0.204
68,Delta,1931,0.745,0.178
69,Delta,2192,0.654,0.186
70,Delta,2226,0.669,0.196
71,Delta,2713,0.857,0.176
72,Delta,1939,0.599,0.163
73,Delta,2357,0.701,0.152
74,Delta,2216,0.636,0.295
75,Delta,2614,0.605,0.381
76,Keyframe,10128,1.026,0.351
77,Delta,1448,0.642,0.186
78,Delta,2317,0.678,0.204
79,Delta,2116,0.561,0.191
80,Delta,1997,0.618,0.380
81,Delta,2011,0.810,0.155
82,Delta,2677,0.668,0.203
83,Delta,1975,0.652,0.167
84,Delta,2204,0.669,0.175
85,Delta,2182,0.558,0.154
86,Delta,2781,1.201,0.237
87,Delta,2031,0.597,0.153
88,Delta,2062,0.685,0.176
89,Delta,2383,0.572,0.174
90,Delta,2853,0.632,0.214
91,Keyframe,10210,0.917,0.299
92,Delta,1739,0.646,0.180
93,Delta,2475,0.712,0.176
94,Delta,2597,0.682,0.202
95,Delta,2251,0.619,0.164
96,Delta,2374,0.949,0.158
97,Delta,2947,0.752,0.185
98,Delta,2413,0.769,0.287
99,Delta,2423,0.643,0.201
100,Delta,2404,0.648,0.156
101,Delta,3048,0.874,0.162
102,Delta,2455,0.626,0.160
103,Delta,2665,0.773,0.176
104,Delta,2317,0.604,0.187
105,Delta,3087,0.684,0.175
106,Keyframe,10192,0.892,0.264
107,Delta,1624,0.796,0.255
108,Delta,2846,0.769,0.179
109,Delta,2198,0.681,0.207
110,Delta,2140,0.625,0.340
111,Delta,2348,0.869,0.150
112,Delta,2735,0.606,0.175
113,Delta,2258,0.830,0.177
114,Delta,2161,0.687,0.173
115,Delta,2045,0.656,0.180
116,Delta,2592,0.945,0.146
117,Delta,2519,0.615,0.147
118,Delta,2126,0.698,0.173
119,Delta,2163,0.552,0.165
120,Delta,3002,0.624,0.163
121,Keyframe,9848,0.967,0.393
122,Delta,1575,0.671,0.254
123,Delta,2408,0.727,0.172
124,Delta,1900,0.831,0.190
125,Delta,1480,0.610,0.163
126,Delta,2129,0.849,0.163
127,Delta,3054,0.647,0.164
128,Delta,1794,0.703,0.250
129,Delta,1812,0.620,0.249
