metric,value
elapsedSeconds,30.012
sentFrames,900
deliveredFrames,900
deliveredPercent,100.000
decodableFrames,900
decodablePercent,100.000
fpsSent,29.988
fpsDelivered,29.988
kbSentTotal,2279.235
kbDeliveredTotal,2279.235
goodputKbPerSec,75.945
avgFrameKb,2.532
droppedDatagrams,0
nackCount,0
pliCount,0
retransmittedFrames,0
latencyAvgMs,0.244
latencyP50Ms,0.176
latencyP95Ms,0.400
latencyP99Ms,0.797
latencyMaxMs,14.211
encodeAvgMs,0.742
encodeMaxMs,17.986
outOfOrderCount,0
maxGapMs,49.617
repairRttMeasuredMs,0.000
