second,sent,delivered,kbSent,kbDelivered,nack,pli
0,1,0,11.743,0.000,0,0
1,30,30,84.402,86.912,0,0
2,30,30,77.778,77.727,0,0
3,30,30,80.395,79.709,0,0
4,30,30,85.930,86.283,0,0
5,30,30,75.972,76.155,0,0
6,30,30,76.793,76.766,0,0
7,30,30,75.305,75.097,0,0
8,30,30,78.256,79.030,0,0
9,30,30,72.084,72.314,0,0
10,30,30,71.938,72.097,0,0
11,30,30,71.067,70.671,0,0
12,30,30,72.693,73.194,0,0
13,30,30,71.306,70.769,0,0
14,30,30,76.127,75.778,0,0
15,30,30,77.007,77.536,0,0
16,30,30,72.952,72.772,0,0
17,30,30,75.293,74.944,0,0
18,30,30,78.581,77.896,0,0
19,30,30,85.063,86.107,0,0
20,30,30,76.502,75.995,0,0
21,30,30,76.901,76.874,0,0
22,30,30,76.271,76.063,0,0
23,30,30,79.316,80.091,0,0
24,30,30,72.927,73.157,0,0
25,30,30,71.938,72.097,0,0
26,30,30,70.036,69.640,0,0
27,30,30,72.693,73.194,0,0
28,30,30,69.687,69.847,0,0
29,30,30,74.383,74.006,0,0
