sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,7.397,10.867
2,Delta,1928,1.050,0.656
3,Delta,2537,0.728,0.630
4,Delta,2532,0.559,0.813
5,Delta,2315,0.662,1.127
6,Delta,2325,0.616,0.187
7,Delta,3291,0.607,0.177
8,Delta,2466,0.644,0.244
9,Delta,2523,0.594,0.224
10,Delta,2407,0.555,0.193
11,Delta,3125,0.597,0.197
12,Delta,2460,0.646,0.179
13,Delta,2471,0.617,0.616
14,Delta,2397,0.649,0.234
15,Delta,3043,0.661,0.409
16,Keyframe,10565,0.634,0.334
17,Delta,1572,0.567,0.220
18,Delta,2077,0.595,0.195
19,Delta,2214,0.584,0.267
20,Delta,2034,0.600,0.197
21,Delta,1989,0.564,0.279
22,Delta,2566,0.588,0.191
23,Delta,2094,0.698,0.248
24,Delta,2358,0.697,0.236
25,Delta,2332,0.736,0.216
26,Delta,2414,0.682,0.166
27,Delta,2205,0.618,0.140
28,Delta,2144,0.659,0.170
29,Delta,2016,0.653,0.174
30,Delta,2573,0.776,0.209
31,Keyframe,9455,0.659,0.900
32,Delta,1488,0.551,0.190
33,Delta,2418,0.733,0.290
34,Delta,1951,0.677,0.176
35,Delta,1799,0.624,0.166
36,Delta,2062,0.637,0.162
37,Delta,2477,0.740,0.198
38,Delta,2008,0.666,0.195
39,Delta,1815,0.610,0.147
40,Delta,1814,0.759,0.139
41,Delta,2462,0.699,0.158
42,Delta,2004,0.707,0.211
43,Delta,2091,0.738,0.203
44,Delta,1929,0.636,0.179
45,Delta,2523,0.692,0.408
46,Keyframe,9777,0.714,0.260
47,Delta,1623,0.603,0.193
48,Delta,2186,0.576,0.142
49,Delta,2365,0.593,0.164
50,Delta,2120,0.626,0.162
51,Delta,2305,0.616,0.144
52,Delta,2678,0.632,0.156
53,Delta,2159,0.739,0.600
54,Delta,2085,0.623,0.159
55,Delta,2048,0.571,0.150
56,Delta,2571,0.653,0.163
57,Delta,2259,0.598,0.147
58,Delta,2171,0.625,0.148
59,Delta,2224,0.600,0.194
60,Delta,2725,0.820,0.187
61,Keyframe,9508,1.432,0.559
62,Delta,1625,0.771,0.416
63,Delta,2166,0.602,0.896
64,Delta,2267,0.700,0.763
65,Delta,2063,0.680,0.710
66,Delta,2079,0.592,0.137
67,Delta,2561,0.626,0.150
68,Delta,1931,0.738,0.179
69,Delta,2192,0.638,0.332
70,Delta,2226,0.641,0.166
71,Delta,2713,0.612,0.178
72,Delta,1939,0.578,0.181
73,Delta,2357,0.641,0.171
74,Delta,2216,0.641,0.167
75,Delta,2614,0.638,0.140
76,Keyframe,10128,0.700,0.228
77,Delta,1448,0.621,0.187
78,Delta,2317,0.666,0.158
79,Delta,2116,0.628,0.148
80,Delta,1997,0.588,0.126
81,Delta,2011,0.546,0.152
82,Delta,2677,0.628,0.159
