metric,value
elapsedSeconds,10.000
sentFrames,300
deliveredFrames,300
deliveredPercent,100.000
decodableFrames,300
decodablePercent,100.000
fpsSent,30.000
fpsDelivered,30.000
kbSentTotal,782.090
kbDeliveredTotal,782.090
goodputKbPerSec,78.209
avgFrameKb,2.607
droppedDatagrams,0
nackCount,0
pliCount,0
retransmittedFrames,0
latencyAvgMs,0.246
latencyP50Ms,0.163
latencyP95Ms,0.421
latencyP99Ms,0.896
latencyMaxMs,10.867
encodeAvgMs,0.663
encodeMaxMs,7.397
outOfOrderCount,0
maxGapMs,41.973
repairRttMeasuredMs,0.000
