sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,21.998,
2,Delta,1928,1.520,7.469
3,Delta,2537,1.113,0.313
4,Delta,2532,1.284,0.735
5,Delta,2315,1.209,0.191
6,Delta,2325,1.029,0.187
7,Delta,3291,0.974,0.202
8,Delta,2466,1.048,0.150
9,Delta,2523,1.117,0.177
10,Delta,2407,1.274,0.136
11,Delta,3125,1.075,0.226
12,Delta,2460,1.121,0.173
13,Delta,2471,0.942,0.155
14,Delta,2397,1.056,0.151
15,Delta,3043,1.028,0.183
16,Keyframe,10565,1.171,0.295
17,Delta,1572,1.045,0.162
18,Delta,2077,1.004,0.125
19,Delta,2214,1.017,0.133
20,Delta,2034,1.098,111.714
21,Delta,1989,1.119,79.525
22,Delta,2566,0.950,34.247
23,Delta,2094,1.069,2.515
24,Delta,2358,1.171,0.129
25,Delta,2332,1.005,0.146
26,Delta,2414,1.180,0.123
27,Delta,2205,1.024,0.118
28,Delta,2144,1.012,0.115
29,Delta,2016,1.155,0.175
30,Delta,2573,1.027,125.092
31,Keyframe,9455,0.953,155.766
32,Delta,1488,1.166,125.201
33,Delta,2418,1.222,92.178
34,Delta,1951,1.260,62.346
35,Delta,1799,1.058,31.184
36,Delta,2062,1.046,0.552
37,Delta,2477,1.224,0.180
38,Delta,2008,1.147,0.118
39,Delta,1815,1.128,0.117
40,Delta,1814,1.197,125.973
41,Delta,2462,1.034,93.997
42,Delta,2004,1.010,63.170
43,Delta,2091,0.942,31.219
44,Delta,1929,1.050,0.250
45,Delta,2523,1.129,0.162
46,Keyframe,9777,0.986,0.295
47,Delta,1623,1.086,0.143
48,Delta,2186,1.109,0.127
49,Delta,2365,0.938,0.103
50,Delta,2120,1.135,0.130
51,Delta,2305,1.124,0.095
52,Delta,2678,1.149,0.160
53,Delta,2159,0.978,0.110
54,Delta,2085,0.967,0.128
55,Delta,2048,1.179,0.134
56,Delta,2571,1.135,141.254
57,Delta,2259,1.059,109.577
58,Delta,2171,1.212,77.982
59,Delta,2224,1.272,108.709
60,Delta,2725,0.958,63.384
61,Keyframe,9508,0.990,31.348
62,Delta,1625,1.094,0.216
63,Delta,2166,0.966,0.090
64,Delta,2267,1.079,0.104
65,Delta,2063,1.145,0.135
66,Delta,2079,1.071,110.327
67,Delta,2561,1.095,78.257
68,Delta,1931,0.979,47.015
69,Delta,2192,0.959,0.240
70,Delta,2226,0.966,0.124
71,Delta,2713,0.972,0.121
72,Delta,1939,1.302,0.137
73,Delta,2357,1.476,0.152
74,Delta,2216,1.468,0.115
75,Delta,2614,1.395,108.575
76,Keyframe,10128,1.185,125.963
77,Delta,1448,1.069,93.566
78,Delta,2317,1.026,63.024
79,Delta,2116,1.263,30.486
80,Delta,1997,1.178,0.184
81,Delta,2011,1.078,0.102
82,Delta,2677,0.949,0.128
83,Delta,1975,0.974,0.108
84,Delta,2204,0.998,0.096
85,Delta,2182,1.279,0.126
86,Delta,2781,0.913,0.114
87,Delta,2031,0.872,0.089
88,Delta,2062,0.984,0.121
89,Delta,2383,1.416,0.134
90,Delta,2853,1.322,0.119
91,Keyframe,10210,1.231,0.540
92,Delta,1739,1.171,0.095
93,Delta,2475,1.139,0.118
94,Delta,2597,1.216,0.126
95,Delta,2251,1.060,0.113
96,Delta,2374,1.068,0.162
97,Delta,2947,1.494,0.206
98,Delta,2413,1.251,172.162
99,Delta,2423,0.977,141.167
100,Delta,2404,1.082,94.393
101,Delta,3048,0.900,62.572
102,Delta,2455,0.988,32.449
103,Delta,2665,0.917,0.189
104,Delta,2317,1.104,0.121
105,Delta,3087,0.946,110.255
106,Keyframe,10192,1.064,205.949
107,Delta,1624,1.033,174.148
108,Delta,2846,0.968,127.200
109,Delta,2198,1.083,94.912
110,Delta,2140,1.017,63.608
111,Delta,2348,1.267,31.846
112,Delta,2735,1.314,0.423
113,Delta,2258,1.151,0.116
114,Delta,2161,1.262,0.148
115,Delta,2045,1.235,0.152
116,Delta,2592,1.185,0.138
117,Delta,2519,1.032,0.128
118,Delta,2126,1.089,0.139
119,Delta,2163,0.953,0.085
120,Delta,3002,1.140,0.111
121,Keyframe,9848,1.232,109.206
122,Delta,1575,1.166,79.290
123,Delta,2408,1.088,47.709
124,Delta,1900,1.020,0.373
125,Delta,1480,0.959,0.151
126,Delta,2129,1.136,0.108
127,Delta,3054,1.007,0.140
128,Delta,1794,1.229,0.087
129,Delta,1812,1.141,0.114
130,Delta,1826,0.926,0.092
131,Delta,3071,1.256,0.102
132,Delta,1862,0.899,0.087
133,Delta,1993,1.288,0.170
134,Delta,1827,1.250,0.091
135,Delta,2427,1.130,107.945
136,Keyframe,9506,1.102,77.529
137,Delta,1380,1.061,124.651
138,Delta,2431,0.948,95.027
139,Delta,1837,1.183,63.322
140,Delta,1908,1.569,32.696
141,Delta,1888,1.224,141.675
142,Delta,2751,1.123,111.021
143,Delta,2124,1.276,79.066
144,Delta,2114,1.071,48.542
145,Delta,2186,1.095,0.267
146,Delta,2675,1.345,0.113
147,Delta,2038,1.104,0.114
148,Delta,1830,1.048,0.103
149,Delta,1722,1.056,0.142
150,Delta,2587,1.433,0.164
151,Keyframe,9660,1.476,140.283
152,Delta,1352,1.295,109.722
153,Delta,2467,1.064,77.437
154,Delta,1635,1.127,46.618
155,Delta,1671,1.038,0.449
156,Delta,2186,1.104,0.106
157,Delta,2994,1.073,0.169
158,Delta,1972,0.988,0.109
159,Delta,2004,1.238,0.108
160,Delta,1850,1.206,110.275
161,Delta,2817,1.172,78.142
162,Delta,1965,1.006,31.107
163,Delta,1975,1.128,0.253
164,Delta,1877,1.536,0.128
165,Delta,2888,1.168,0.146
166,Keyframe,9771,1.103,0.256
