metric,value
elapsedSeconds,10.008
sentFrames,300
deliveredFrames,295
deliveredPercent,98.333
decodableFrames,281
decodablePercent,93.667
fpsSent,29.977
fpsDelivered,29.477
kbSentTotal,782.090
kbDeliveredTotal,762.740
goodputKbPerSec,76.215
avgFrameKb,2.607
droppedDatagrams,44
nackCount,34
pliCount,0
retransmittedFrames,34
latencyAvgMs,31.934
latencyP50Ms,0.173
latencyP95Ms,139.161
latencyP99Ms,173.019
latencyMaxMs,205.949
encodeAvgMs,1.223
encodeMaxMs,21.998
outOfOrderCount,0
maxGapMs,205.139
repairRttMeasuredMs,1.440
