sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,8.409,
2,Delta,1928,1.628,1.773
3,Delta,2537,1.004,0.254
4,Delta,2532,1.219,0.463
5,Delta,2315,0.962,0.188
6,Delta,2325,0.968,0.112
7,Delta,3291,1.445,0.191
8,Delta,2466,0.979,0.204
9,Delta,2523,1.044,0.191
10,Delta,2407,1.179,0.178
11,Delta,3125,0.945,0.177
12,Delta,2460,1.173,0.177
13,Delta,2471,1.135,0.169
14,Delta,2397,1.117,0.148
15,Delta,3043,1.131,0.168
16,Keyframe,10565,1.649,0.352
17,Delta,1572,1.476,0.231
18,Delta,2077,1.154,0.144
19,Delta,2214,1.345,0.159
20,Delta,2034,1.276,
21,Delta,1989,0.967,0.188
22,Delta,2566,1.078,0.189
23,Delta,2094,1.022,0.175
24,Delta,2358,1.138,0.364
25,Delta,2332,1.048,0.231
26,Delta,2414,0.967,0.157
27,Delta,2205,0.923,0.104
28,Delta,2144,1.125,0.134
29,Delta,2016,0.993,0.147
30,Delta,2573,1.314,0.169
31,Keyframe,9455,2.262,
32,Delta,1488,1.358,
33,Delta,2418,1.098,0.190
34,Delta,1951,1.119,0.114
35,Delta,1799,0.995,0.115
36,Delta,2062,0.908,0.151
37,Delta,2477,1.069,0.158
38,Delta,2008,1.521,0.129
39,Delta,1815,1.022,
40,Delta,1814,1.214,
41,Delta,2462,1.288,0.169
42,Delta,2004,1.551,0.144
43,Delta,2091,1.191,0.117
44,Delta,1929,1.603,0.106
45,Delta,2523,1.356,0.151
46,Keyframe,9777,1.777,
47,Delta,1623,1.188,0.144
48,Delta,2186,1.159,0.138
49,Delta,2365,1.215,0.136
50,Delta,2120,1.467,0.152
51,Delta,2305,1.236,0.106
52,Delta,2678,1.211,0.138
53,Delta,2159,1.416,0.150
54,Delta,2085,2.445,0.233
55,Delta,2048,1.428,0.191
56,Delta,2571,1.410,0.149
57,Delta,2259,1.152,0.139
58,Delta,2171,1.080,0.121
59,Delta,2224,0.950,0.132
60,Delta,2725,1.198,0.137
61,Keyframe,9508,1.123,
62,Delta,1625,1.133,0.097
63,Delta,2166,1.094,
64,Delta,2267,1.006,0.127
65,Delta,2063,0.988,0.109
66,Delta,2079,0.920,0.092
67,Delta,2561,0.984,0.107
68,Delta,1931,1.161,0.119
69,Delta,2192,1.104,0.145
70,Delta,2226,1.198,0.120
71,Delta,2713,0.909,0.135
72,Delta,1939,0.976,0.088
73,Delta,2357,0.951,0.100
74,Delta,2216,1.069,0.124
75,Delta,2614,1.378,
76,Keyframe,10128,1.124,0.256
77,Delta,1448,1.060,0.114
78,Delta,2317,1.076,0.112
79,Delta,2116,0.894,0.095
80,Delta,1997,0.938,0.101
81,Delta,2011,1.151,0.113
82,Delta,2677,1.153,
83,Delta,1975,0.932,
84,Delta,2204,1.021,0.121
85,Delta,2182,0.935,0.144
86,Delta,2781,0.921,0.137
87,Delta,2031,1.109,0.125
88,Delta,2062,1.343,0.100
89,Delta,2383,1.305,0.124
90,Delta,2853,1.164,0.150
91,Keyframe,10210,1.370,0.247
92,Delta,1739,1.139,0.110
93,Delta,2475,1.132,0.138
94,Delta,2597,1.224,0.153
95,Delta,2251,1.043,0.100
96,Delta,2374,0.978,0.112
97,Delta,2947,1.179,0.137
98,Delta,2413,0.983,0.117
99,Delta,2423,0.919,0.122
100,Delta,2404,1.078,0.133
101,Delta,3048,0.876,0.148
102,Delta,2455,0.951,0.148
103,Delta,2665,1.133,0.121
104,Delta,2317,1.251,0.099
105,Delta,3087,1.102,0.167
106,Keyframe,10192,1.451,0.248
107,Delta,1624,0.948,0.113
108,Delta,2846,0.960,
109,Delta,2198,1.129,0.135
110,Delta,2140,1.063,0.128
111,Delta,2348,1.223,0.086
112,Delta,2735,1.257,0.138
113,Delta,2258,1.065,
114,Delta,2161,1.088,0.099
115,Delta,2045,0.981,0.117
116,Delta,2592,1.166,0.114
117,Delta,2519,1.068,0.148
118,Delta,2126,1.027,0.116
119,Delta,2163,0.907,
120,Delta,3002,0.948,0.148
121,Keyframe,9848,1.187,
122,Delta,1575,0.999,0.117
123,Delta,2408,1.014,0.156
124,Delta,1900,0.932,0.106
125,Delta,1480,1.189,0.125
126,Delta,2129,1.221,0.110
127,Delta,3054,1.173,0.130
128,Delta,1794,1.141,0.107
129,Delta,1812,1.327,0.125
130,Delta,1826,1.115,
131,Delta,3071,1.227,0.098
132,Delta,1862,1.162,0.112
133,Delta,1993,1.153,0.134
134,Delta,1827,1.373,0.116
135,Delta,2427,1.236,0.146
136,Keyframe,9506,1.192,0.304
137,Delta,1380,1.153,0.134
138,Delta,2431,0.912,0.109
139,Delta,1837,1.235,0.111
140,Delta,1908,1.694,0.111
141,Delta,1888,0.979,0.096
142,Delta,2751,0.996,0.113
143,Delta,2124,1.093,0.108
144,Delta,2114,1.134,
145,Delta,2186,1.161,
146,Delta,2675,1.190,0.095
147,Delta,2038,0.975,0.127
148,Delta,1830,1.052,0.086
149,Delta,1722,1.776,0.107
150,Delta,2587,1.076,0.212
151,Keyframe,9660,1.143,0.303
152,Delta,1352,1.254,0.093
153,Delta,2467,0.963,0.152
154,Delta,1635,1.167,0.103
155,Delta,1671,1.130,0.126
156,Delta,2186,1.594,0.113
157,Delta,2994,1.607,0.125
158,Delta,1972,1.288,0.134
159,Delta,2004,1.019,0.133
160,Delta,1850,1.135,
161,Delta,2817,1.128,0.158
162,Delta,1965,1.354,0.103
163,Delta,1975,1.488,0.149
164,Delta,1877,1.258,0.123
165,Delta,2888,1.200,
166,Keyframe,9771,1.355,0.303
167,Delta,1381,1.269,
168,Delta,2445,1.090,0.151
169,Delta,1922,1.525,0.159
170,Delta,1919,1.592,0.128
171,Delta,2066,1.190,0.101
172,Delta,2661,1.217,0.147
173,Delta,2132,1.018,0.136
174,Delta,1961,1.203,0.100
175,Delta,1968,0.997,0.086
176,Delta,2473,1.100,0.129
177,Delta,2028,0.955,0.093
178,Delta,1963,1.247,0.087
179,Delta,1968,1.038,0.085
180,Delta,2637,1.034,0.133
181,Keyframe,9688,1.016,
182,Delta,1434,1.137,0.136
183,Delta,2561,1.101,0.115
184,Delta,1727,0.920,0.083
185,Delta,1677,0.964,0.095
186,Delta,1569,1.075,0.089
187,Delta,2329,0.959,0.092
188,Delta,2249,1.041,0.117
189,Delta,2120,1.280,0.113
190,Delta,2109,1.170,0.085
191,Delta,2449,0.967,0.117
192,Delta,1926,1.054,
193,Delta,1713,0.891,0.101
194,Delta,2101,1.067,0.093
195,Delta,2496,0.905,0.119
196,Keyframe,10117,1.935,0.247
197,Delta,1487,1.288,0.110
198,Delta,2383,0.880,0.093
199,Delta,1776,1.039,0.092
200,Delta,1853,1.166,0.085
201,Delta,1733,1.187,0.105
202,Delta,2461,1.298,0.112
203,Delta,1799,0.923,0.082
204,Delta,1762,1.012,0.101
205,Delta,2127,1.071,0.150
206,Delta,2455,2.437,0.117
