metric,value
elapsedSeconds,10.011
sentFrames,300
deliveredFrames,269
deliveredPercent,89.667
decodableFrames,97
decodablePercent,32.333
fpsSent,29.968
fpsDelivered,26.871
kbSentTotal,782.090
kbDeliveredTotal,664.930
goodputKbPerSec,66.421
avgFrameKb,2.607
droppedDatagrams,33
nackCount,0
pliCount,0
retransmittedFrames,0
latencyAvgMs,0.142
latencyP50Ms,0.121
latencyP95Ms,0.254
latencyP99Ms,0.364
latencyMaxMs,1.773
encodeAvgMs,1.192
encodeMaxMs,8.409
outOfOrderCount,0
maxGapMs,95.821
repairRttMeasuredMs,0.000
