sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,9.287,
2,Delta,1928,1.617,125.547
3,Delta,2537,1.609,123.318
4,Delta,2532,1.131,125.052
5,Delta,2315,0.937,124.555
6,Delta,2325,1.115,125.179
7,Delta,3291,1.184,123.603
8,Delta,2466,1.380,122.204
9,Delta,2523,1.032,123.829
10,Delta,2407,1.074,123.955
11,Delta,3125,1.203,123.568
12,Delta,2460,1.309,123.262
13,Delta,2471,1.111,122.042
14,Delta,2397,1.336,122.306
15,Delta,3043,1.170,121.745
16,Keyframe,10565,1.688,121.782
17,Delta,1572,1.010,121.298
18,Delta,2077,1.532,121.198
19,Delta,2214,1.137,120.981
20,Delta,2034,1.214,
21,Delta,1989,1.628,
22,Delta,2566,1.623,
23,Delta,2094,1.031,
24,Delta,2358,1.532,
25,Delta,2332,1.196,
26,Delta,2414,1.425,
27,Delta,2205,1.354,
28,Delta,2144,1.494,
29,Delta,2016,1.159,
30,Delta,2573,1.749,
31,Keyframe,9455,1.225,
32,Delta,1488,1.443,
33,Delta,2418,1.158,
34,Delta,1951,1.361,
35,Delta,1799,1.277,
36,Delta,2062,1.588,
37,Delta,2477,1.063,
38,Delta,2008,1.252,
39,Delta,1815,1.155,
40,Delta,1814,1.208,
41,Delta,2462,1.188,
42,Delta,2004,1.197,
43,Delta,2091,1.226,
44,Delta,1929,1.222,
45,Delta,2523,1.011,
46,Keyframe,9777,1.330,120.691
47,Delta,1623,1.058,135.714
48,Delta,2186,1.699,120.074
49,Delta,2365,1.182,119.891
50,Delta,2120,1.143,
51,Delta,2305,1.115,
52,Delta,2678,1.054,
53,Delta,2159,1.028,
54,Delta,2085,1.552,
55,Delta,2048,1.163,
56,Delta,2571,1.833,
57,Delta,2259,1.087,
58,Delta,2171,1.095,
59,Delta,2224,1.081,
60,Delta,2725,1.738,
61,Keyframe,9508,1.111,122.465
62,Delta,1625,1.013,123.704
63,Delta,2166,1.024,124.206
64,Delta,2267,1.040,122.775
65,Delta,2063,1.029,122.350
66,Delta,2079,1.127,123.014
67,Delta,2561,1.321,123.229
68,Delta,1931,1.314,
69,Delta,2192,1.132,
70,Delta,2226,1.163,
71,Delta,2713,1.195,
72,Delta,1939,1.534,
73,Delta,2357,1.115,
74,Delta,2216,1.062,
75,Delta,2614,1.163,
76,Keyframe,10128,1.028,123.558
77,Delta,1448,1.044,122.331
78,Delta,2317,1.123,124.302
79,Delta,2116,1.192,121.224
80,Delta,1997,1.222,122.184
81,Delta,2011,1.273,119.759
82,Delta,2677,0.916,120.408
83,Delta,1975,1.033,122.146
84,Delta,2204,1.159,123.467
85,Delta,2182,1.060,124.247
86,Delta,2781,1.454,124.464
87,Delta,2031,1.131,124.811
88,Delta,2062,1.183,124.385
89,Delta,2383,1.124,121.695
90,Delta,2853,1.133,121.066
91,Keyframe,10210,1.012,120.534
92,Delta,1739,1.152,121.462
93,Delta,2475,0.955,122.794
94,Delta,2597,1.007,122.610
95,Delta,2251,0.907,
96,Delta,2374,0.963,
97,Delta,2947,1.019,
98,Delta,2413,0.938,
99,Delta,2423,1.019,
100,Delta,2404,1.183,
101,Delta,3048,0.955,
102,Delta,2455,0.980,
103,Delta,2665,0.981,
104,Delta,2317,1.169,
105,Delta,3087,1.239,
106,Keyframe,10192,1.032,435.133
107,Delta,1624,1.168,403.100
108,Delta,2846,1.797,370.207
109,Delta,2198,1.335,324.728
110,Delta,2140,1.276,294.590
111,Delta,2348,1.176,263.406
112,Delta,2735,1.007,233.088
113,Delta,2258,1.137,202.125
114,Delta,2161,1.160,499.277
115,Delta,2045,1.488,467.476
116,Delta,2592,1.051,436.416
