metric,value
elapsedSeconds,12.027
sentFrames,360
deliveredFrames,179
deliveredPercent,49.722
decodableFrames,165
decodablePercent,45.833
fpsSent,29.933
fpsDelivered,14.883
kbSentTotal,925.955
kbDeliveredTotal,500.546
goodputKbPerSec,41.619
avgFrameKb,2.572
droppedDatagrams,59
nackCount,37
pliCount,32
retransmittedFrames,156
latencyAvgMs,274.500
latencyP50Ms,123.978
latencyP95Ms,914.009
latencyP99Ms,978.934
latencyMaxMs,991.932
encodeAvgMs,1.195
encodeMaxMs,10.648
outOfOrderCount,0
maxGapMs,896.431
repairRttMeasuredMs,246.939
