sequence,frameType,bytes,encodeMs,latencyMs
1,Keyframe,12025,9.963,1.742
2,Delta,1928,1.580,0.141
3,Delta,2537,1.366,0.137
4,Delta,2532,2.404,0.410
5,Delta,2315,1.018,0.167
6,Delta,2325,1.968,0.143
7,Delta,3291,1.300,0.133
8,Delta,2466,1.219,0.157
9,Delta,2523,1.200,0.152
10,Delta,2407,1.262,0.170
11,Delta,3125,1.285,0.145
12,Delta,2460,2.873,0.163
13,Delta,2471,1.089,0.153
14,Delta,2397,1.470,0.100
15,Delta,3043,1.011,0.151
16,Keyframe,10565,1.312,0.144
17,Delta,1572,1.075,0.126
18,Delta,2077,1.499,0.153
19,Delta,2214,1.278,0.127
20,Delta,2034,2.197,0.208
21,Delta,1989,1.226,0.173
22,Delta,2566,1.386,0.145
23,Delta,2094,1.110,0.156
24,Delta,2358,1.210,0.115
25,Delta,2332,1.033,0.138
26,Delta,2414,1.356,0.172
27,Delta,2205,1.170,0.126
28,Delta,2144,1.223,0.161
29,Delta,2016,0.983,0.121
30,Delta,2573,1.382,0.117
31,Keyframe,9455,1.327,0.128
32,Delta,1488,1.357,0.175
33,Delta,2418,1.100,0.145
34,Delta,1951,2.175,0.132
35,Delta,1799,1.347,0.179
36,Delta,2062,1.443,0.210
37,Delta,2477,1.160,0.146
38,Delta,2008,1.321,0.155
39,Delta,1815,1.314,0.135
40,Delta,1814,1.165,0.149
41,Delta,2462,1.302,0.122
42,Delta,2004,1.368,0.119
43,Delta,2091,1.330,0.113
44,Delta,1929,1.315,0.158
45,Delta,2523,1.225,0.146
46,Keyframe,9777,1.700,0.173
47,Delta,1623,1.486,0.161
48,Delta,2186,1.216,0.135
49,Delta,2365,1.165,0.154
50,Delta,2120,1.319,0.117
51,Delta,2305,0.993,0.115
52,Delta,2678,1.363,0.124
53,Delta,2159,1.170,0.130
54,Delta,2085,1.527,0.111
55,Delta,2048,1.144,0.106
56,Delta,2571,1.547,0.143
57,Delta,2259,1.066,0.134
58,Delta,2171,1.416,0.133
59,Delta,2224,1.418,0.112
60,Delta,2725,1.512,0.111
61,Keyframe,9508,1.233,0.134
62,Delta,1625,1.665,0.187
63,Delta,2166,1.107,0.099
64,Delta,2267,1.127,0.110
65,Delta,2063,1.108,0.160
66,Delta,2079,1.162,0.127
67,Delta,2561,1.054,0.143
68,Delta,1931,1.068,0.119
69,Delta,2192,1.099,0.133
70,Delta,2226,1.304,0.170
71,Delta,2713,1.322,0.173
72,Delta,1939,1.119,0.137
73,Delta,2357,1.096,0.143
74,Delta,2216,1.293,0.140
75,Delta,2614,0.959,0.132
76,Keyframe,10128,1.376,0.120
77,Delta,1448,1.543,0.175
78,Delta,2317,1.292,0.128
79,Delta,2116,0.939,0.107
80,Delta,1997,0.997,0.136
81,Delta,2011,0.870,0.128
82,Delta,2677,1.013,0.105
83,Delta,1975,0.826,0.153
84,Delta,2204,1.534,0.188
85,Delta,2182,1.007,0.194
86,Delta,2781,0.828,0.133
87,Delta,2031,1.493,0.273
88,Delta,2062,0.565,0.112
89,Delta,2383,0.729,0.136
90,Delta,2853,1.027,0.121
91,Keyframe,10210,0.898,0.114
92,Delta,1739,1.118,0.135
93,Delta,2475,0.726,0.133
94,Delta,2597,1.253,0.112
95,Delta,2251,0.952,0.120
96,Delta,2374,1.394,0.118
97,Delta,2947,1.315,0.130
98,Delta,2413,1.342,0.143
99,Delta,2423,1.177,0.123
100,Delta,2404,1.007,0.181
101,Delta,3048,0.951,0.131
102,Delta,2455,1.172,0.126
103,Delta,2665,1.068,0.118
104,Delta,2317,1.538,0.106
105,Delta,3087,0.956,0.142
106,Keyframe,10192,1.495,0.110
107,Delta,1624,1.185,0.123
108,Delta,2846,1.115,0.121
109,Delta,2198,1.409,0.204
110,Delta,2140,1.546,0.101
111,Delta,2348,1.038,0.111
112,Delta,2735,1.215,0.124
113,Delta,2258,0.964,0.126
114,Delta,2161,1.260,0.114
115,Delta,2045,0.941,0.107
116,Delta,2592,1.184,0.106
117,Delta,2519,0.961,0.120
118,Delta,2126,1.376,0.100
119,Delta,2163,1.377,0.102
120,Delta,3002,1.587,0.131
121,Keyframe,9848,1.074,0.171
122,Delta,1575,1.169,0.111
123,Delta,2408,0.789,0.139
124,Delta,1900,0.738,0.137
125,Delta,1480,0.665,0.118
126,Delta,2129,1.200,0.277
127,Delta,3054,0.711,0.139
128,Delta,1794,0.770,0.097
129,Delta,1812,1.465,0.179
130,Delta,1826,1.289,0.102
131,Delta,3071,1.100,0.130
132,Delta,1862,2.534,0.112
133,Delta,1993,1.218,0.159
134,Delta,1827,1.421,0.113
135,Delta,2427,1.315,0.115
136,Keyframe,9506,1.234,0.135
137,Delta,1380,1.682,0.171
138,Delta,2431,1.599,0.135
139,Delta,1837,1.130,0.127
140,Delta,1908,1.156,0.110
141,Delta,1888,1.183,0.154
142,Delta,2751,1.447,0.119
143,Delta,2124,2.250,0.110
144,Delta,2114,1.433,0.117
145,Delta,2186,1.004,0.105
146,Delta,2675,0.888,0.108
147,Delta,2038,0.857,0.112
148,Delta,1830,0.770,0.135
149,Delta,1722,0.725,0.118
150,Delta,2587,0.866,0.147
151,Keyframe,9660,0.672,0.115
152,Delta,1352,0.745,0.111
153,Delta,2467,0.662,0.140
154,Delta,1635,0.624,0.108
155,Delta,1671,0.983,0.187
156,Delta,2186,0.971,0.130
157,Delta,2994,1.149,0.145
158,Delta,1972,1.281,0.156
159,Delta,2004,1.347,0.167
160,Delta,1850,1.711,1.983
161,Delta,2817,0.976,0.145
162,Delta,1965,7.933,0.136
163,Delta,1975,0.843,0.242
164,Delta,1877,2.159,0.214
165,Delta,2888,0.784,0.160
166,Keyframe,9771,0.853,0.181
167,Delta,1381,1.134,0.111
168,Delta,2445,0.856,0.113
169,Delta,1922,1.131,0.125
170,Delta,1919,1.128,0.159
171,Delta,2066,0.716,0.163
172,Delta,2661,0.796,0.097
173,Delta,2132,0.729,0.158
174,Delta,1961,0.723,0.195
175,Delta,1968,0.764,0.132
176,Delta,2473,2.248,1.456
177,Delta,2028,0.738,0.128
178,Delta,1963,0.807,0.146
179,Delta,1968,0.762,0.115
180,Delta,2637,1.198,0.153
181,Keyframe,9688,1.416,0.173
182,Delta,1434,0.917,0.111
183,Delta,2561,0.764,0.110
184,Delta,1727,0.880,0.099
185,Delta,1677,0.663,0.135
186,Delta,1569,0.858,0.154
187,Delta,2329,0.975,0.128
188,Delta,2249,1.052,0.115
189,Delta,2120,0.873,0.110
190,Delta,2109,0.937,0.160
191,Delta,2449,0.912,0.177
192,Delta,1926,0.802,0.131
193,Delta,1713,0.706,0.128
194,Delta,2101,0.774,0.130
195,Delta,2496,0.649,0.150
196,Keyframe,10117,0.727,0.135
197,Delta,1487,0.581,0.107
198,Delta,2383,0.750,0.187
199,Delta,1776,0.986,0.211
200,Delta,1853,0.766,0.113
201,Delta,1733,0.697,0.136
202,Delta,2461,0.944,0.120
203,Delta,1799,0.687,0.128
204,Delta,1762,0.775,0.110
205,Delta,2127,0.578,0.138
206,Delta,2455,0.662,0.138
207,Delta,2180,1.032,0.109
208,Delta,1939,0.601,0.110
209,Delta,1859,0.733,0.111
210,Delta,2820,0.568,0.130
211,Keyframe,9901,0.733,0.135
212,Delta,1324,0.723,0.118
213,Delta,2267,0.606,0.112
214,Delta,1817,0.617,0.140
215,Delta,1811,0.680,0.127
216,Delta,2418,0.692,0.111
217,Delta,2588,0.631,0.152
218,Delta,2539,0.595,0.102
219,Delta,2346,0.665,0.110
220,Delta,2201,0.560,0.124
221,Delta,2502,0.627,0.144
222,Delta,2097,0.694,0.116
223,Delta,2441,0.664,0.116
224,Delta,1837,0.676,0.103
225,Delta,2322,0.631,0.127
226,Keyframe,9660,0.927,0.175
227,Delta,1475,0.886,0.107
228,Delta,2580,0.569,0.125
229,Delta,2012,0.730,0.111
230,Delta,1986,0.640,0.115
231,Delta,2171,0.599,0.118
232,Delta,2777,0.689,0.141
233,Delta,2308,0.717,0.123
234,Delta,2460,0.912,0.147
235,Delta,2294,0.960,0.126
236,Delta,2458,0.626,0.119
237,Delta,1803,0.762,0.103
238,Delta,2289,0.931,0.118
239,Delta,2039,1.081,0.106
240,Delta,2204,1.168,0.138
241,Keyframe,9108,1.163,0.121
242,Delta,1365,1.186,0.132
243,Delta,2243,1.512,0.103
244,Delta,1747,0.905,0.135
245,Delta,1633,1.198,0.127
246,Delta,2145,0.953,0.105
247,Delta,2307,0.941,0.110
248,Delta,2035,5.019,0.124
249,Delta,1895,1.162,0.112
