metric,value
elapsedSeconds,10.020
sentFrames,298
deliveredFrames,298
deliveredPercent,100.000
decodableFrames,298
decodablePercent,100.000
fpsSent,29.739
fpsDelivered,29.739
kbSentTotal,778.212
kbDeliveredTotal,778.212
goodputKbPerSec,77.662
avgFrameKb,2.611
droppedDatagrams,0
nackCount,0
pliCount,0
retransmittedFrames,0
latencyAvgMs,0.150
latencyP50Ms,0.128
latencyP95Ms,0.188
latencyP99Ms,1.456
latencyMaxMs,1.983
encodeAvgMs,1.138
encodeMaxMs,9.963
outOfOrderCount,0
maxGapMs,142.238
repairRttMeasuredMs,0.000
